name_of_space,address,hausprojekt,date_founded,co_housing,hackerspace_tech_meetup,tool_share,woodshop_metalshop_ceramic_studio,women_trans_queer_space_events,arts_space,guest_room,classes_workshops,free_store,coworking,volxkuchen,health_sport_services,agriculture,wagenplatz,child_friendly,silkscreen_studio,medienwerkstatt,sewing_workshop,film_video_collective_resources,kino,archive_reading_room,bike_workshop,cafe_bar,music_venue_parties,date_purchased_contract,website,video,stammtisch,immigrant_initiatives_events,community_youth_center,food_share_coop,barter_spende_free_economy,legal_services,infoshop,language_class,poster_text_distribution,soli_events_infrastructure,open_hours,flomarkt,offenes_plenum,cooperative_business,green_energy_infrastructure,metal_shop,photo_lab,ceramic_studio,photo_url,freiflache,created_at,updated_at,cartodb_georef_status,longitude,latitude,the_geom,cartodb_id,the_geom_webmercator,needs_moderation,printid
Drugstore,"Potsdamer Strasse 180, 10827 Berlin",Yes (?),,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, So 18:00 uhr",No,No,Yes,Yes,,http://www.drugstore-berlin.de/,No,No,No,No,No,Yes,No,No,No,No,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.361003,52.49406,0101000020E61000000A849D62D5B82A408121AB5B3D3F4A40,84,0101000020110F0000F21EEA0CECB13641619D1BE678485A41,,52
DruzBar,"New Yorck im Bethanien, 10997 Berlin",No,,No,No,No,No,No,No,No,No,No,No,"Yes, 1.+3.+5. Mo im Monat 20:00 VoKü",No,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,Yes,No,No,No,"Yes, 1.+3.+5. Mo im Monat 20:00, Soli-Cocktailbar zugunsten politischer Projekte",,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42199,52.50511,0101000020E6100000637AC2120FD82A40F870C971A7404A40,155,0101000020110F0000158B9C1771CC3641EE13140D724A5A41,,53
Dunckerstr.14,Dunckerstr.14  Berlin Prenzlauer Berg,Yes,Besetzt: 1990,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.42145,52.54293,0101000020E610000064CC5D4BC8D72A403602F1BA7E454A40,36,0101000020110F0000621ACEFA34CC3641CDD88CF533515A41,,54
EA (Ermittlungsausschuss),"Gneisenaustr. 2a, 10961 Berlin",No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,http://www.mehringhof.de/projekte/ea.htm,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.38856,52.49203,0101000020E610000049111956F1C62A405053CBD6FA3E4A40,85,0101000020110F000059F480AEE7BD3641838C661C1C485A41,,55
Ebersstr. 84 Laden,Ebersstr. 84 Laden  Berlin Schöneberg 10827 ,Yes,Besetzt: 3.4.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,IBP Nr.5 2) 01.07.1981 Mietvertrag/Nutzungsvertrag BA Kreuzberg,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.354365,52.481808,0101000020E6100000AFB14B546FB52A40C07971E2AB3D4A40,12,0101000020110F0000003E961C09AF364120DB06F248465A41,,56
Eisenacher Str. 103 HH,Eisenacher Str. 103 HH  Berlin Schöneberg 10781,Yes,Besetzt: 10.2.1981,No,No,No,No,No,No,No,No,No,No,No ,No,No,No,No,No,No,No,No,No,No,No,No,No,,http://www.fehre6.de/,,"Yes, So 20:00, Literaturlabor",,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.35327,52.48451,0101000020E6100000DB5031CEDFB42A40E04A766C043E4A40,188,0101000020110F000073D981378FAE3641DCB5EC6BC4465A41,,57
Eiszeit-Kino ,"Zeughofstr. 20, 10997 Berlin",No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Yes, Jeden Tag",No,No,No,No,,http://www.eiszeitkino.de/web/,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.43345,52.50018,0101000020E610000004E78C28EDDD2A40800EF3E505404A40,86,0101000020110F0000F5E247D06CD13641A017E8A890495A41,,58
Etsy Labs/IMA Village,"
Ritterstrasse 12 – 14
D – 10969 Berlin",No,,No,No,No,No,No,No,No,"Yes, crafting workshops",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,http://www.etsy.com/blog/de/2012/uber-etsy-labs/,No,"Yes, crafting stammtisch, small business stammtisch",No,"Yes, DIY community center",No,Yes,No,No,No,No,No,,No,No,No,No,No,No,No,https://www.etsy.com/blog/de/files/2012/01/etsylabs1.jpg,No,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.410962,52.501253,0101000020E610000029CC7B9C69D22A40CD02ED0E29404A40,190,0101000020110F000089C0FC75A5C7364191DEA0B6C1495A41,,59
Eylauerstr. 7,Eylauerstr. 7  Berlin Kreuzberg 10777,Yes,Besetzt: 31.1.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.38362,52.49383,0101000020E6100000DC2E34D769C42A4050E449D2353F4A40,19,0101000020110F0000A5426CC3C1BB364148FDBE626E485A41,,60
f.a.q.,"Jonasstr. 40, 12053 Berlin",no(?),,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Yes, (Video Archive)",Yes (queer film club),Yes (antisexist focus + video archive),No,No,No,,"http://as-laden.info/, http://xb.blogsport.de/",No,Yes,No,No,No,No,No,Yes,no,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.43098,52.47097,0101000020E6100000CD751A69A9DC2A40D5B2B5BE483C4A40,89,0101000020110F00001A8ABDDA59D03641EE57FBBE59445A41,,61
FAU-Lokal,"Lottumstr. 11, 10119 Berlin",No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,http://www.fau.org/ortsgruppen/berlin,No,No,No,No,No,No,"Yes, Fr 17:00-18:00",No,No,No,No,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.40703,52.53091,0101000020E610000055FB743C66D02A40478FDFDBF4434A40,90,0101000020110F000000AEADC0EFC53641035802FF0D4F5A41,,62
Fehrbelliner Str. 6,Fehrbelliner Str. 6  Berlin Mitte,Yes,Besetzt: 1990,No,No,No,No,No,Yes ,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Gekauft 1997,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.40309,52.53364,0101000020E610000075B0FECF61CE2A4031EBC5504E444A40,9,0101000020110F00005D22632739C43641D3252EE48A4F5A41,,63
Fehrbelliner Str. 7,Fehrbelliner Str. 7  Berlin Mitte,Yes,Besetzt: 1979,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2001 gekauft,http://www.jugendopposition.de/index.php?id=3179,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.40309,52.53364,0101000020E610000075B0FECF61CE2A4031EBC5504E444A40,31,0101000020110F00005D22632739C43641D3252EE48A4F5A41,,64
Fichtestr. 29 ,Fichtestr. 29  10777 Berlin Kreuzberg,Yes,Besetzt: 20.6.1980,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,http://www.archivtiger.de/haeuser/br_UnsereNeueHeimat/,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.413212,52.490391,0101000020E610000027A1F48590D32A405AA0DD21C53E4A40,65,0101000020110F00002D9603EE9FC8364176FAB632D1475A41,,65
Fidicinstr. 25a / Friesenstr. 12,Fidicinstr. 25A  10965 Berlin Kreuzberg,Yes,Besetzt: 7.2.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15.07.1982 Mietvertrag/Nutzungsvertrag,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.39368,52.4867,0101000020E6100000B62DCA6C90C92A404A7B832F4C3E4A40,45,0101000020110F0000ABCB2FA321C0364148C1828128475A41,,66
Fidicinstr. 27,Fidicinstr. 27 10965 Berlin Kreuzberg,Yes,Besetzt: 1.2.1981,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,2013-02-11 19:11:31+00,2013-03-11 16:45:30.817154+00,1,13.393317,52.486624,0101000020E6100000F2EB87D860C92A406FB9FAB1493E4A40,44,0101000020110F000016337D3AF9BF36416FA5560825475A41,,67
